buy_date,sell_date,buy_price,sell_price,profit,return_pct
1,8,244.0,241.1,-290.00000000000057,-1.1885245901639367
36,49,239.83,237.02,-281.0000000000002,-1.1716632614768803
58,70,238.98,237.25,-172.99999999999898,-0.723909950623479
72,87,238.0,237.2,-80.00000000000114,-0.3361344537815174
89,92,238.99,237.15,-184.00000000000034,-0.7699066906565143
100,110,238.65,236.31,-234.00000000000034,-0.9805153991200516
114,119,238.78,237.1,-168.00000000000068,-0.7035765139458945
123,127,238.59,237.31,-128.0000000000001,-0.5364851837880888
135,138,238.59,237.0,-159.00000000000034,-0.6664151892367673
140,144,238.55,237.04,-151.00000000000193,-0.6329909872144286
151,154,238.0,237.05,-94.99999999999886,-0.3991596638655414
160,163,238.0,237.08,-91.99999999999875,-0.38655462184873424
164,169,238.26,237.1,-115.99999999999966,-0.48686309074120565
170,171,238.46,237.11,-134.99999999999943,-0.5661326847269958
172,178,238.46,237.11,-134.99999999999943,-0.5661326847269958
184,205,238.5,240.25,175.0,0.7337526205450734
230,238,241.98,240.2,-178.0000000000001,-0.7355979833044058
246,247,242.85,240.23,-262.00000000000045,-1.0788552604488386
248,253,242.58,240.22,-236.00000000000136,-0.9728749278588562
257,261,242.85,241.2,-165.00000000000057,-0.6794317479925904
262,265,242.85,240.6,-225.0,-0.9264978381717109
284,292,241.75,240.61,-113.99999999999864,-0.4715615305067162
293,309,241.64,242.0,36.000000000001364,0.1489819566297027
324,325,242.5,241.25,-125.0,-0.5154639175257731
327,331,242.5,241.29,-121.0000000000008,-0.4989690721649518
340,341,242.2,241.4,-79.9999999999983,-0.3303055326176643
342,344,242.0,241.35,-65.00000000000057,-0.2685950413223164
345,347,241.95,241.29,-65.99999999999966,-0.2727836329820197
357,375,242.2,241.0,-119.99999999999886,-0.4954582989265023
396,427,240.0,238.0,-200.0,-0.8333333333333334
428,433,239.4,238.0,-140.00000000000057,-0.5847953216374293
447,448,238.0,237.6,-40.00000000000057,-0.1680672268907587
